ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430599406.79158,dbt2,39792,10,mark,dbt2-client,,-1,2015-05-02 21:43:25.535677+01,,2015-05-02 21:43:26.774194+01,f,COMMIT,idle,2015-05-02 21:43:26.776636+01
1430599406.79158,dbt2,39796,10,mark,dbt2-client,,-1,2015-05-02 21:43:25.635598+01,,2015-05-02 21:43:26.77672+01,f,COMMIT,idle,2015-05-02 21:43:26.776738+01
1430599406.79158,dbt2,39798,10,mark,dbt2-client,,-1,2015-05-02 21:43:25.735722+01,,2015-05-02 21:43:26.786518+01,f,COMMIT,idle,2015-05-02 21:43:26.788943+01
1430599406.79158,dbt2,39800,10,mark,dbt2-client,,-1,2015-05-02 21:43:25.835783+01,,2015-05-02 21:43:26.755359+01,f,COMMIT,idle,2015-05-02 21:43:26.755376+01
1430599406.79158,dbt2,39802,10,mark,dbt2-client,,-1,2015-05-02 21:43:25.935887+01,2015-05-02 21:43:26.790859+01,2015-05-02 21:43:26.790881+01,f,"SELECT stock_level(1, 1, 12)",idle in transaction,2015-05-02 21:43:26.793013+01
1430599406.79158,dbt2,39804,10,mark,dbt2-client,,-1,2015-05-02 21:43:26.036017+01,,2015-05-02 21:43:26.757771+01,f,COMMIT,idle,2015-05-02 21:43:26.759028+01
1430599406.79158,dbt2,39806,10,mark,dbt2-client,,-1,2015-05-02 21:43:26.136178+01,,2015-05-02 21:43:26.75925+01,f,COMMIT,idle,2015-05-02 21:43:26.759635+01
1430599406.79158,dbt2,39808,10,mark,dbt2-client,,-1,2015-05-02 21:43:26.236372+01,,2015-05-02 21:43:26.765434+01,f,COMMIT,idle,2015-05-02 21:43:26.766028+01
1430599406.79158,dbt2,39810,10,mark,dbt2-client,,-1,2015-05-02 21:43:26.33654+01,,2015-05-02 21:43:26.761531+01,f,COMMIT,idle,2015-05-02 21:43:26.763183+01
1430599406.79158,dbt2,39812,10,mark,dbt2-client,,-1,2015-05-02 21:43:26.436665+01,,2015-05-02 21:43:26.743698+01,f,COMMIT,idle,2015-05-02 21:43:26.745275+01
1430599406.79158,dbt2,39814,10,mark,dbt2-client,,-1,2015-05-02 21:43:26.549035+01,,2015-05-02 21:43:26.773758+01,f,COMMIT,idle,2015-05-02 21:43:26.775229+01
